                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.93034,                0.82204,                0.96489,                0.85883,                0.77914,                0.85205,                 0.6321,                0.91546,                 0.8066,                0.97918,              0.0003959,              0.0003959,              0.0003959
                     36,                0.92718,                0.80627,                0.96152,                0.83016,                0.78633,                0.85467,                0.63342,                0.92502,                0.82533,                 0.9843,             0.00039008,             0.00039008,             0.00039008
                     37,                0.92019,                0.79609,                0.95593,                0.83727,                0.77539,                0.85206,                0.63372,                0.92223,                0.83145,                0.97626,             0.00038426,             0.00038426,             0.00038426
                     38,                0.91916,                 0.7888,                0.95444,                 0.8181,                0.82781,                0.86702,                0.63141,                0.93056,                0.79905,                0.97753,             0.00037844,             0.00037844,             0.00037844
                     39,                0.92314,                0.79334,                0.95978,                0.80312,                0.81429,                0.85187,                0.63902,                0.90668,                0.81735,                0.97157,             0.00037262,             0.00037262,             0.00037262
                     40,                0.91445,                0.77808,                0.95399,                0.86986,                0.77731,                0.85976,                0.64341,                0.92649,                0.89299,                0.97413,             0.00036679,             0.00036679,             0.00036679
                     41,                0.90378,                 0.7728,                0.95277,                0.81368,                0.80162,                0.85992,                0.64894,                0.90604,                0.78052,                0.97155,             0.00036097,             0.00036097,             0.00036097
                     42,                 0.9094,                 0.7604,                0.95283,                0.84645,                0.80299,                0.85877,                0.63703,                0.91034,                0.79081,                0.97248,             0.00035515,             0.00035515,             0.00035515
                     43,                0.90417,                0.76301,                0.95405,                0.83954,                0.81087,                0.86559,                0.64496,                0.92069,                0.76774,                0.97816,             0.00034933,             0.00034933,             0.00034933
                     44,                0.89893,                0.74697,                0.94789,                0.87014,                0.81912,                 0.8686,                0.65136,                0.90728,                0.78939,                0.96839,             0.00034351,             0.00034351,             0.00034351
                     45,                0.88946,                0.75045,                 0.9468,                0.83647,                0.80771,                0.86055,                0.64838,                0.92703,                0.84838,                0.98566,             0.00033769,             0.00033769,             0.00033769
                     46,                0.89704,                   0.75,                0.94892,                0.87006,                0.81144,                0.88031,                0.66359,                0.88251,                0.74998,                0.96276,             0.00033187,             0.00033187,             0.00033187
                     47,                0.88047,                0.74227,                 0.9404,                0.84824,                0.82705,                 0.8789,                0.67462,                0.87919,                0.74342,                0.95443,             0.00032605,             0.00032605,             0.00032605
                     48,                0.87619,                0.72664,                0.93986,                0.85942,                0.83479,                0.87281,                0.66716,                0.88024,                0.77157,                0.95591,             0.00032022,             0.00032022,             0.00032022
                     49,                0.88365,                0.73685,                0.94624,                0.84062,                0.82121,                0.87295,                0.66224,                0.88735,                0.80461,                0.96145,              0.0003144,              0.0003144,              0.0003144
                     50,                0.87637,                0.73135,                0.94173,                0.88548,                0.80892,                0.88859,                 0.6729,                0.89082,                0.74351,                0.97814,             0.00030858,             0.00030858,             0.00030858
                     51,                0.87676,                0.72607,                0.94149,                0.83487,                0.81212,                0.86987,                0.65798,                0.90223,                0.87667,                0.96666,             0.00030276,             0.00030276,             0.00030276
                     52,                 0.8743,                0.70682,                0.93942,                0.90833,                0.81737,                0.88929,                0.67559,                0.87363,                0.72698,                0.96158,             0.00029694,             0.00029694,             0.00029694
