                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.79666,                0.60131,                0.92233,                  0.916,                0.83889,                0.90455,                0.70873,                0.84854,                0.66154,                 0.9808,             0.00021544,             0.00021544,             0.00021544
                     67,                0.79863,                0.60477,                0.92059,                0.89314,                0.85176,                0.90637,                0.70525,                0.84162,                0.68604,                 0.9662,             0.00020962,             0.00020962,             0.00020962
                     68,                0.79741,                0.60264,                 0.9205,                0.90994,                0.84141,                0.90107,                 0.7015,                0.84623,                0.70531,                0.96651,              0.0002038,              0.0002038,              0.0002038
                     69,                0.78773,                0.59616,                0.91853,                0.92097,                0.84291,                0.91088,                0.71047,                 0.8307,                0.65702,                 0.9631,             0.00019798,             0.00019798,             0.00019798
                     70,                0.78384,                0.59647,                0.91676,                 0.9004,                0.84942,                0.90889,                0.71823,                0.82766,                0.66284,                0.95915,             0.00019216,             0.00019216,             0.00019216
                     71,                0.77885,                0.58789,                0.91377,                 0.8798,                0.85268,                0.89855,                 0.7107,                0.83011,                0.70061,                0.95959,             0.00018634,             0.00018634,             0.00018634
                     72,                0.78265,                0.58052,                0.91736,                0.90642,                0.85197,                0.90954,                0.72216,                0.81246,                0.63832,                0.95144,             0.00018052,             0.00018052,             0.00018052
                     73,                0.77647,                0.58456,                0.91498,                0.92032,                0.84305,                0.90173,                0.70744,                0.82864,                0.69939,                0.95707,             0.00017469,             0.00017469,             0.00017469
                     74,                0.77436,                0.57784,                0.91254,                 0.8981,                0.84937,                0.90693,                0.71903,                0.81684,                0.69166,                0.95885,             0.00016887,             0.00016887,             0.00016887
                     75,                 0.7682,                0.56621,                0.91505,                0.90454,                  0.855,                0.90555,                0.71744,                0.81824,                0.64699,                 0.9589,             0.00016305,             0.00016305,             0.00016305
                     76,                 0.7615,                0.56643,                 0.9148,                0.91187,                0.84721,                0.90364,                0.72199,                0.81744,                0.68937,                0.96171,             0.00015723,             0.00015723,             0.00015723
                     77,                0.77655,                0.57101,                0.91663,                0.89683,                0.85934,                0.90777,                0.71947,                 0.8204,                0.68046,                0.96725,             0.00015141,             0.00015141,             0.00015141
                     78,                0.76268,                0.55779,                0.91091,                0.87215,                0.86716,                0.90924,                0.71775,                0.82242,                0.66069,                0.97194,             0.00014559,             0.00014559,             0.00014559
                     79,                0.75337,                0.55353,                0.90795,                0.88681,                0.87603,                0.91781,                 0.7279,                0.81477,                0.64151,                0.97053,             0.00013977,             0.00013977,             0.00013977
                     80,                0.75677,                0.55826,                0.91098,                0.90995,                0.86558,                0.90917,                  0.721,                0.82232,                0.66351,                0.96574,             0.00013395,             0.00013395,             0.00013395
                     81,                 0.7462,                0.55603,                0.91053,                0.90856,                0.85008,                0.91194,                0.72474,                0.80774,                0.64748,                0.95232,             0.00012813,             0.00012813,             0.00012813
                     82,                0.74632,                0.55075,                0.90647,                0.89145,                0.86388,                 0.9081,                0.72956,                0.80853,                0.64564,                0.95836,              0.0001223,              0.0001223,              0.0001223
                     83,                0.74463,                0.54752,                0.90825,                0.89862,                 0.8692,                0.91077,                0.72428,                0.80923,                0.63018,                0.95797,             0.00011648,             0.00011648,             0.00011648
                     84,                0.74711,                0.54694,                0.90606,                0.89856,                0.85626,                0.90756,                0.72149,                0.81876,                0.63687,                0.97082,             0.00011066,             0.00011066,             0.00011066
                     85,                0.74424,                0.53969,                0.90816,                0.90307,                0.85707,                0.90782,                0.72422,                0.81366,                0.65425,                0.95787,             0.00010484,             0.00010484,             0.00010484
                     86,                0.75058,                0.53763,                0.90607,                0.90053,                0.84913,                0.90493,                0.72738,                0.81394,                0.65156,                 0.9663,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     87,                0.74632,                0.53637,                0.90257,                0.91055,                0.85115,                0.90765,                0.72657,                0.80636,                0.62963,                0.96069,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     88,                0.74234,                 0.5386,                0.90665,                0.90003,                0.86032,                0.90774,                0.73155,                0.80491,                 0.6423,                0.95656,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     89,                0.73199,                0.52641,                0.90056,                0.90518,                0.85786,                0.90878,                0.72981,                0.80095,                0.62702,                0.95674,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     90,                0.72687,                0.52035,                0.89887,                0.90733,                0.85682,                0.90538,                0.72504,                0.80306,                0.63322,                0.96184,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     91,                0.71021,                0.49192,                0.89408,                0.89552,                0.86177,                0.90812,                0.72466,                0.80805,                0.62343,                0.96573,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     92,                0.70505,                0.47576,                0.89572,                0.90719,                0.85234,                0.90611,                0.72493,                0.80812,                0.63153,                0.96495,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     93,                0.69373,                0.46545,                 0.8904,                0.90833,                0.85111,                0.90966,                0.72312,                0.80195,                 0.6346,                0.96188,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     94,                0.68869,                 0.4615,                0.89215,                0.91209,                0.85049,                0.91127,                0.72788,                0.80749,                0.63925,                0.96224,              5.245e-05,              5.245e-05,              5.245e-05
                     95,                0.69323,                0.46776,                 0.8899,                 0.9078,                0.85051,                0.91002,                0.72852,                0.80758,                0.63223,                0.96072,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     96,                0.68154,                0.45869,                0.88824,                0.92046,                0.84785,                0.90835,                0.72768,                0.80143,                0.62348,                0.95739,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     97,                0.68506,                0.46036,                0.88804,                0.91521,                0.84811,                0.90881,                0.73082,                0.80005,                0.64048,                0.96196,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     98,                0.68512,                0.45657,                 0.8865,                0.91908,                0.84882,                0.90714,                0.72983,                0.79839,                0.62899,                0.95991,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     99,                0.67564,                 0.4516,                0.88656,                0.91082,                0.85207,                0.90812,                 0.7273,                0.79836,                0.62668,                 0.9591,             2.3344e-05,             2.3344e-05,             2.3344e-05
                    100,                0.67629,                0.45019,                0.88288,                0.91347,                0.85476,                0.90895,                0.72697,                0.79514,                0.63535,                0.95888,             1.7522e-05,             1.7522e-05,             1.7522e-05
