                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4011,                 3.1553,                 1.2266,                0.72555,                0.22844,                 0.2439,                0.14247,                 1.2041,                 2.3268,                 1.1443,             0.00019456,             0.00019456,             0.00019456
                      2,                 1.2264,                  1.946,                 1.1042,                0.46396,                0.42649,                0.43401,                0.24588,                 1.2284,                 1.8588,                 1.1415,             0.00038669,             0.00038669,             0.00038669
                      3,                 1.2029,                 1.7284,                   1.09,                0.67285,                0.47702,                0.54206,                 0.3497,                 1.1422,                 1.6993,                 1.1164,             0.00057494,             0.00057494,             0.00057494
                      4,                 1.1815,                 1.5853,                 1.0852,                0.62111,                0.55913,                0.55036,                0.35098,                 1.1334,                 1.4626,                 1.1129,             0.00057054,             0.00057054,             0.00057054
                      5,                 1.1477,                 1.4741,                 1.0644,                 0.5957,                0.59916,                0.61244,                 0.4067,                 1.1061,                 1.2973,                 1.0742,             0.00057054,             0.00057054,             0.00057054
                      6,                 1.1254,                 1.3736,                 1.0565,                0.62858,                 0.6368,                 0.6615,                0.41626,                 1.1009,                 1.2162,                 1.0831,             0.00056472,             0.00056472,             0.00056472
                      7,                 1.1023,                  1.323,                 1.0501,                0.63401,                0.58528,                0.65127,                0.43162,                 1.1022,                 1.5613,                 1.0911,             0.00055889,             0.00055889,             0.00055889
                      8,                 1.0799,                 1.2314,                 1.0387,                0.60986,                0.69385,                0.67399,                0.45248,                 1.0809,                 1.2403,                 1.0833,             0.00055307,             0.00055307,             0.00055307
                      9,                 1.0797,                 1.1989,                   1.04,                0.66031,                 0.6667,                0.68333,                0.46251,                 1.0743,                 1.2697,                 1.0672,             0.00054725,             0.00054725,             0.00054725
                     10,                 1.0669,                 1.1523,                 1.0323,                0.63911,                0.68057,                 0.6798,                0.46451,                 1.0612,                 1.4049,                 1.0475,             0.00054143,             0.00054143,             0.00054143
                     11,                  1.052,                 1.1291,                 1.0257,                0.67228,                0.70493,                0.72142,                0.49788,                 1.0152,                 1.0546,                 1.0384,             0.00053561,             0.00053561,             0.00053561
                     12,                 1.0237,                 1.0819,                 1.0186,                0.76919,                0.70029,                 0.7296,                0.50859,                 1.0258,                 1.1391,                 1.0462,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.0267,                 1.0575,                 1.0221,                0.71076,                 0.7279,                0.75087,                  0.517,                 1.0009,                0.99978,                 1.0323,             0.00052397,             0.00052397,             0.00052397
                     14,                  1.012,                 1.0362,                 1.0074,                0.65802,                0.71741,                0.71676,                0.50497,                 1.0309,                 1.3383,                 1.0366,             0.00051815,             0.00051815,             0.00051815
                     15,                 1.0151,                  1.015,                 1.0136,                0.64699,                0.72762,                0.75017,                0.52479,                0.98395,                0.95249,                 1.0234,             0.00051232,             0.00051232,             0.00051232
                     16,                 1.0097,                 1.0024,                  1.004,                0.72753,                0.74067,                0.76954,                0.54751,                0.97408,                0.94272,                 1.0092,              0.0005065,              0.0005065,              0.0005065
                     17,                0.99242,                0.98275,                 1.0035,                0.77638,                0.63762,                0.74877,                 0.5161,                 1.0175,                 1.2534,                 1.0432,             0.00050068,             0.00050068,             0.00050068
                     18,                0.97938,                 0.9501,                0.99704,                0.74621,                 0.7644,                0.80608,                0.57497,                 0.9917,                0.93128,                 1.0266,             0.00049486,             0.00049486,             0.00049486
                     19,                0.97843,                0.94976,                 1.0036,                0.76868,                 0.7575,                0.77964,                0.55698,                0.98099,                 1.0561,                 1.0173,             0.00048904,             0.00048904,             0.00048904
                     20,                 0.9704,                0.93778,                0.99073,                0.72868,                0.78737,                 0.7811,                0.56778,                0.95944,                0.96774,                 1.0122,             0.00048322,             0.00048322,             0.00048322
                     21,                0.96205,                0.89294,                0.99093,                0.77603,                0.78723,                0.80797,                0.57282,                0.96504,                0.92779,                 1.0165,              0.0004774,              0.0004774,              0.0004774
                     22,                0.96832,                0.88631,                0.99308,                0.81185,                0.76705,                0.82616,                0.59272,                0.94699,                0.90491,                 1.0014,             0.00047158,             0.00047158,             0.00047158
                     23,                 0.9585,                0.88973,                0.98571,                 0.7669,                0.81866,                0.82965,                0.61082,                0.93745,                0.85025,                  1.012,             0.00046575,             0.00046575,             0.00046575
                     24,                0.94269,                0.87033,                0.98146,                 0.7706,                0.74327,                0.81024,                0.56945,                0.97156,                0.96231,                 1.0153,             0.00045993,             0.00045993,             0.00045993
                     25,                0.94534,                 0.8738,                0.98272,                0.79487,                0.80082,                0.82975,                0.60386,                0.94779,                0.89646,                 1.0056,             0.00045411,             0.00045411,             0.00045411
                     26,                0.94054,                0.83759,                0.98206,                 0.8096,                0.75939,                0.82004,                 0.6053,                0.92396,                0.84522,                0.99081,             0.00044829,             0.00044829,             0.00044829
                     27,                0.93449,                0.84736,                0.97579,                0.82211,                0.76191,                0.83527,                0.60841,                0.96672,                0.99319,                 1.0081,             0.00044247,             0.00044247,             0.00044247
                     28,                 0.9358,                0.83327,                 0.9767,                0.81294,                0.80691,                0.83918,                0.62228,                0.91531,                0.82254,                0.98802,             0.00043665,             0.00043665,             0.00043665
                     29,                0.92484,                0.81183,                0.97438,                0.85333,                 0.7688,                  0.836,                0.60964,                0.92063,                0.90018,                0.99037,             0.00043083,             0.00043083,             0.00043083
                     30,                0.91556,                 0.7998,                0.96765,                0.86205,                  0.781,                0.84624,                0.62423,                0.92466,                 0.7876,                0.99868,             0.00042501,             0.00042501,             0.00042501
                     31,                 0.9156,                0.81062,                0.96829,                0.85839,                0.78446,                0.85581,                0.62035,                0.93356,                0.80074,                 0.9963,             0.00041919,             0.00041919,             0.00041919
                     32,                0.90886,                0.78767,                0.96874,                0.84273,                0.77655,                0.83672,                0.61973,                0.92251,                0.81594,                0.99856,             0.00041336,             0.00041336,             0.00041336
                     33,                0.90597,                 0.7813,                0.96881,                0.82436,                0.82554,                0.86765,                0.64873,                0.91525,                0.76781,                0.99383,             0.00040754,             0.00040754,             0.00040754
                     34,                0.90003,                0.77136,                0.96662,                0.85035,                0.78275,                0.85241,                0.63513,                0.90378,                0.84604,                0.98088,             0.00040172,             0.00040172,             0.00040172
                     35,                0.88939,                0.77397,                0.96032,                0.86255,                 0.7642,                0.84443,                0.62713,                0.90373,                0.83928,                0.98891,              0.0003959,              0.0003959,              0.0003959
                     36,                0.88529,                0.75183,                0.95574,                0.81573,                0.79669,                0.85015,                0.64142,                0.88718,                0.80906,                0.97601,             0.00039008,             0.00039008,             0.00039008
                     37,                0.88797,                0.75112,                0.95705,                0.83919,                0.82308,                0.86171,                0.65609,                0.88907,                0.79237,                0.98512,             0.00038426,             0.00038426,             0.00038426
                     38,                0.88668,                0.74336,                0.95293,                0.86098,                 0.7813,                0.85908,                0.63693,                   0.91,                0.89401,                0.99417,             0.00037844,             0.00037844,             0.00037844
                     39,                0.88111,                0.73907,                 0.9556,                0.87015,                0.80458,                0.87479,                0.66139,                0.88913,                0.76055,                0.97224,             0.00037262,             0.00037262,             0.00037262
                     40,                0.87834,                0.72642,                0.95263,                 0.8418,                0.82907,                 0.8781,                0.66224,                0.89116,                 0.8256,                0.98422,             0.00036679,             0.00036679,             0.00036679
                     41,                0.86972,                0.72038,                0.95015,                0.86432,                0.78454,                0.84377,                 0.6353,                0.93333,                 1.0915,                 1.0105,             0.00036097,             0.00036097,             0.00036097
                     42,                0.87577,                0.71228,                0.95086,                0.85275,                0.81961,                0.87533,                0.66216,                0.88389,                 0.8354,                0.97835,             0.00035515,             0.00035515,             0.00035515
                     43,                0.86119,                0.71547,                0.95073,                0.86895,                0.80332,                0.87293,                0.66316,                0.88986,                0.73483,                0.98322,             0.00034933,             0.00034933,             0.00034933
                     44,                0.86709,                0.69829,                0.94771,                0.89586,                0.83618,                0.89506,                0.67858,                0.88464,                0.73479,                0.97895,             0.00034351,             0.00034351,             0.00034351
                     45,                0.86121,                0.70089,                0.94581,                0.87205,                0.82432,                0.88118,                0.67514,                0.87259,                 0.7176,                 0.9722,             0.00033769,             0.00033769,             0.00033769
                     46,                0.86065,                0.70831,                0.94784,                 0.8406,                0.81414,                0.87125,                0.66038,                0.87576,                0.75341,                0.97859,             0.00033187,             0.00033187,             0.00033187
                     47,                0.84971,                0.69073,                0.94268,                0.85795,                 0.8375,                 0.8874,                0.68179,                 0.8644,                0.70189,                0.97154,             0.00032605,             0.00032605,             0.00032605
                     48,                0.84517,                0.68154,                0.94089,                0.86151,                0.84148,                0.89005,                0.68474,                0.87096,                0.71128,                0.98071,             0.00032022,             0.00032022,             0.00032022
                     49,                0.84525,                0.68613,                0.94042,                0.89755,                0.82512,                0.88774,                0.68434,                0.86242,                0.73037,                0.97507,              0.0003144,              0.0003144,              0.0003144
                     50,                0.84138,                 0.6825,                0.93787,                0.87005,                 0.8442,                0.89406,                0.68967,                0.85957,                0.68789,                0.96643,             0.00030858,             0.00030858,             0.00030858
                     51,                0.84058,                0.68328,                0.93878,                0.88229,                0.82973,                0.88829,                0.68476,                0.86596,                0.73695,                0.97378,             0.00030276,             0.00030276,             0.00030276
                     52,                0.84022,                0.66607,                0.93735,                  0.867,                0.84379,                  0.889,                0.67799,                0.86441,                0.68367,                0.97756,             0.00029694,             0.00029694,             0.00029694
                     53,                0.83694,                0.65784,                0.93848,                0.86279,                0.81539,                0.87998,                0.68203,                0.85975,                0.72482,                0.97812,             0.00029112,             0.00029112,             0.00029112
                     54,                0.84312,                0.65818,                 0.9381,                 0.9019,                0.81783,                 0.8933,                0.69725,                0.85483,                0.69218,                0.97179,              0.0002853,              0.0002853,              0.0002853
                     55,                0.83021,                0.64712,                0.93595,                0.88946,                0.84408,                 0.8905,                0.69192,                0.85392,                0.72633,                0.97668,             0.00027948,             0.00027948,             0.00027948
                     56,                0.83088,                0.64765,                0.93547,                0.88026,                0.84722,                0.89945,                0.70352,                0.83684,                0.67595,                0.95723,             0.00027366,             0.00027366,             0.00027366
                     57,                0.81246,                0.62398,                0.92719,                0.87975,                0.86145,                0.90196,                0.70221,                0.84479,                0.68939,                0.96705,             0.00026783,             0.00026783,             0.00026783
                     58,                0.80958,                0.62609,                0.93033,                0.87694,                0.83617,                0.89622,                0.69954,                0.84918,                0.71303,                0.97159,             0.00026201,             0.00026201,             0.00026201
                     59,                 0.8161,                0.63469,                0.92974,                0.92557,                0.82187,                0.89097,                0.69494,                0.84753,                0.74829,                0.96531,             0.00025619,             0.00025619,             0.00025619
                     60,                0.80649,                0.62361,                0.92616,                 0.8946,                0.84646,                0.90725,                0.70822,                0.82817,                0.70617,                 0.9613,             0.00025037,             0.00025037,             0.00025037
                     61,                0.80854,                0.61478,                0.92577,                0.87209,                0.85393,                0.90691,                0.71447,                0.81821,                0.66016,                0.96248,             0.00024455,             0.00024455,             0.00024455
                     62,                0.80525,                0.62338,                0.92563,                0.88287,                0.81711,                0.88968,                0.68844,                0.83403,                0.79679,                0.96293,             0.00023873,             0.00023873,             0.00023873
                     63,                0.80308,                0.61303,                 0.9279,                0.88266,                0.84325,                0.90102,                0.70782,                0.84446,                0.71757,                0.96568,             0.00023291,             0.00023291,             0.00023291
                     64,                0.80696,                0.61489,                0.92364,                0.89616,                0.83081,                0.88992,                0.69795,                0.82824,                0.69677,                0.95771,             0.00022709,             0.00022709,             0.00022709
                     65,                0.78893,                 0.6118,                0.92091,                0.89002,                0.84734,                0.90015,                0.70005,                0.83684,                 0.6919,                0.96529,             0.00022126,             0.00022126,             0.00022126
